ITEM_ID,OPC_FULLNAME,DH_BLDG,DH_ROOM,DH_TAG,ITEM_DESC,LOC_ID,COMMENTS,ENABLED,SOURCE,LAT,LON,FREQ,RETENTION
1188,FRANZ_C358B-XFMR-C.DMD.INST_CV,FRANZ_HALL,C358B,XFMR-C.DMD.INST,ElectricityDemand,346,,Y,,,,15,-1
1189,FRANZ_A173.MAIN.DMD.INST_CV,FRANZ_HALL,A173,MAIN.DMD.INST,ElectricityDemand,346,,Y,,,,15,-1
1190,GEOLOGY_B714.XFMR-B.DMD.INST_CV,GEOLOGY,B714,XFMR-B.DMD.INST,ElectricityDemand,348,,Y,,,,15,-1
1191,GEOLOGY_B714.XFMR-A.DMD.INST_CV,GEOLOGY,B714,XFMR-A.DMD.INST,ElectricityDemand,348,,Y,,,,15,-1
1192,KNUDSEN_A145A.XFMR-D.DMD.INST_CV,KNUDSEN_HALL,A145A,XFMR-D.DMD.INST,ElectricityDemand,227,,Y,,,,15,-1
1193,KNUDSEN_A145A.XFMR-C.DMD.INST_CV,KNUDSEN_HALL,A145A,XFMR-C.DMD.INST,ElectricityDemand,227,,Y,,,,15,-1
1194,KNUDSEN_A145A.XFMR-B.DMD.INST_CV,KNUDSEN_HALL,A145A,XFMR-B.DMD.INST,ElectricityDemand,227,,Y,,,,15,-1
1195,KNUDSEN_A145A.XFMR-A.DMD.INST_CV,KNUDSEN_HALL,A145A,XFMR-A.DMD.INST,ElectricityDemand,227,,Y,,,,15,-1
1196,LAW_A-403B.XFMR-A.DMD.INST_CV,LAW,A-403B,XFMR-A.DMD.INST,ElectricityDemand,231,,Y,,,,15,-1
1197,LAW_A-610B.XFMR-D.DMD.INST_CV,LAW,A-610B,XFMR-D.DMD.INST,ElectricityDemand,231,,Y,,,,15,-1
1198,LAW_B-101.XFMR-A.DMD.INST_CV,LAW,B-101,XFMR-A.DMD.INST,ElectricityDemand,231,,Y,,,,15,-1
1199,MDCC_B2-484.SWB1.DMD.INST_CV,M_DAVIES_CC,B2-484,SWB-1.DMD.INST,,235,,Y,,,,15,-1
1200,MDCC_B2-484.SWB2.DMD.INST_CV,M_DAVIES_CC,B2-484,SWB-2.DMD.INST,,235,,Y,,,,15,-1
1201,MACGOWEN_A-100A.XFMRB.DMD.INST_CV,MACGOWAN,A-100A,XFMR-B.DMD.INST,ElectricityDemand,237,,Y,,,,15,-1
1202,MACGOWEN_A-100A.XFMRA.DMD.INST_CV,MACGOWAN,A-100A,XFMR-A.DMD.INST,ElectricityDemand,237,,Y,,,,15,-1
1211,MELNITZ_A452B.XFMR-A.DMD.INST_CV,MELNITZ_HALL,A452B,XFMR-A.DMD.INST,ElectricityDemand,259,,Y,,,,15,-1
1212,MSB_5128.XFMR-C.DMD.INST_CV,MOLECULR_SCI,5128,XFMR-C.DMD.INST,ElectricityDemand,178,,Y,,,,15,-1
1213,MSB_5104.XFMR-B.DMD.INST_CV,MOLECULR_SCI,5104,XFMR-B.DMD.INST,ElectricityDemand,178,,Y,,,,15,-1
1214,MSB_1820.XFMR-A.DMD.INST_CV,MOLECULR_SCI,1820,XFMR-A.DMD.INST,ElectricityDemand,178,,Y,,,,15,-1
1215,MURPHY_A-216.XFMR-D.DMD.INST_CV,MURPHY_HALL,A-216,XFMR-D.DMD.INST,ElectricityDemand,181,,Y,,,,15,-1
1216,MURPHY_A-216.XFMR-C.DMD.INST_CV,MURPHY_HALL,A-216,XFMR-C.DMD.INST,ElectricityDemand,181,,Y,,,,15,-1
1217,NRB_121.XFMR-A.DMD_CV,NEUROSCI_RCH,121,XFMR-A.DMD ,ElectricityDemand,62531,,Y,,,,15,-1
1218,PERLOFF_B330.XFMR-A.DMD.INST_CV,PERLOFF_HALL,B330,XFMR-A.DMD.INST,ElectricityDemand,185,,Y,,,,15,-1
1219,POWELL_B80.XFMR-B.DMD.INST_CV,POWELL_LIB,B80,XFMR-B.DMD.INST,ElectricityDemand,240,,Y,,,,15,-1
1220,POWELL_B80.XFMR-A.DMD.INST_CV,POWELL_LIB,B80,XFMR-A.DMD.INST,ElectricityDemand,240,,Y,,,,15,-1
1221,PPB_A379B.XFMR-B.DMD.INST_CV,PUB_AFFAIRS,A379B,XFMR-B.DMD.INST,ElectricityDemand,243,,Y,,,,15,-1
